物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15100073,蓬盛榄菜,瓶,,徐博馆仓库,5.00,4.000,20.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,3.00,13.000,39.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,6.00,4.500,27.00
15100085,东古野山椒 180g,瓶,,徐博馆仓库,8.00,3.500,28.00
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,4.00,15.000,60.00
15100093,小放牛冬菜,瓶,,徐博馆仓库,2.00,6.800,13.60
15100097,咸柠檬,瓶,,徐博馆仓库,1.00,85.000,85.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,4.00,12.000,48.00
15110013,火窝料,包,,徐博馆仓库,4.00,3.500,14.00
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120004,海马,斤,,徐博馆仓库,0.60,"3,000.000","1,800.00"
15120007,杞子,斤,,徐博馆仓库,2.00,28.000,56.00
15120008,沙参,斤,,徐博馆仓库,2.50,117.600,294.00
15120009,玉竹,斤,,徐博馆仓库,0.50,150.000,75.00
15120010,党参,斤,,徐博馆仓库,4.00,284.438,"1,137.75"
15120026,杜仲,斤,,徐博馆仓库,2.00, , 
15120027,罗汉果,只,,徐博馆仓库,4.00,1.200,4.80
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00
15120044,桂皮,斤,,徐博馆仓库,2.00,10.000,20.00
15120054,豆扣,斤,,徐博馆仓库,0.50,29.000,14.50
15120057,石斛,斤,,徐博馆仓库,1.00,719.260,719.26
15120059,灵芝,斤,,徐博馆仓库,2.00,85.000,170.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120102,虫草花,斤,,徐博馆仓库,2.00,80.000,160.00
15120115,青花椒,斤,,徐博馆仓库,1.00,38.000,38.00
15120119,地龙干,斤,,徐博馆仓库,6.00,85.000,510.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,100.000","1,100.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,2.70,982.874,"2,653.76"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120161,当归片,斤,,徐博馆仓库,0.90,175.000,157.50
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,2.50,180.000,450.00
15120174,20年陈皮,斤,,徐博馆仓库,2.40,658.329,"1,579.99"
,食品,,,,,,"100,804.95"
15120086,西藏红花,g,,徐博馆仓库,113.50,13.392,"1,520.00"
,饮料,,,,,,"1,520.00"
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,680.60",267.986,"449,330.57"
