物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15090036,意米,斤,,徐博馆仓库,2.00,9.500,19.00
15090106,西杏片,斤,,徐博馆仓库,2.00,43.000,86.00
15090107,红衣花生,斤,,徐博馆仓库,7.00,8.000,56.00
15090148,干无花果,斤,,徐博馆仓库,2.00,20.000,40.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,23.00,11.000,253.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,16.00,7.000,112.00
15100005,保利奶 1kg,罐,,徐博馆仓库,7.00,16.000,112.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,3.00,8.000,24.00
15100020,红车厘子 737,罐,,徐博馆仓库,3.00,19.000,57.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,20.00,8.500,170.00
15100034,地扪杂果,罐,,徐博馆仓库,5.00,12.000,60.00
15100070,高达黑椒碎,罐,,徐博馆仓库,1.00,47.000,47.00
15100071,桂花糖 300g,支,,徐博馆仓库,7.00,5.000,35.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,13.00,4.000,52.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,1.00,13.000,13.00
15100085,东古野山椒 180g,瓶,,徐博馆仓库,5.00,3.500,17.50
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,2.00,15.000,30.00
15100097,咸柠檬,瓶,,徐博馆仓库,2.00,85.000,170.00
15110009,酸子姜,罐,,徐博馆仓库,8.00,12.000,96.00
15110013,火窝料,包,,徐博馆仓库,2.00,3.500,7.00
15110014,麦冬,斤,,徐博馆仓库,7.00,171.500,"1,200.50"
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120007,杞子,斤,,徐博馆仓库,2.00,32.000,64.00
15120008,沙参,斤,,徐博馆仓库,6.00,122.500,735.00
15120010,党参,斤,,徐博馆仓库,3.00,305.750,917.25
15120019,白术,斤,,徐博馆仓库,4.00,73.500,294.00
15120022,当归,斤,,徐博馆仓库,5.00,161.660,808.30
15120027,罗汉果,只,,徐博馆仓库,5.00,1.200,6.00
15120038,香叶,斤,,徐博馆仓库,1.50,15.000,22.50
15120043,八角,斤,,徐博馆仓库,1.00,15.000,15.00
15120044,桂皮,斤,,徐博馆仓库,1.00,10.000,10.00
