物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15100078,钻石黑椒碎,罐,,徐博馆仓库,2.00,47.000,94.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,4.00,4.500,18.00
15100085,东古野山椒 180g,瓶,,徐博馆仓库,7.00,3.300,23.10
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,4.00,15.000,60.00
15100097,咸柠檬,瓶,,徐博馆仓库,4.00,85.000,340.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,6.00,15.000,90.00
15110013,火窝料,包,,徐博馆仓库,7.00,3.500,24.50
15110014,麦冬,斤,,徐博馆仓库,3.00,162.750,488.25
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120007,杞子,斤,,徐博馆仓库,1.50,25.000,37.50
15120009,玉竹,斤,,徐博馆仓库,2.00,147.000,294.00
15120010,党参,斤,,徐博馆仓库,1.70,220.500,374.85
15120019,白术,斤,,徐博馆仓库,4.40,69.750,306.90
15120026,杜仲,斤,,徐博馆仓库,2.00, , 
15120027,罗汉果,只,,徐博馆仓库,9.00,1.200,10.80
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00
15120043,八角,斤,,徐博馆仓库,1.00,15.000,15.00
15120044,桂皮,斤,,徐博馆仓库,1.00,10.000,10.00
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00
15120054,豆扣,斤,,徐博馆仓库,1.00,29.000,29.00
15120059,灵芝,斤,,徐博馆仓库,2.00,85.000,170.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,170.25,13.392,"2,280.00"
15120115,青花椒,斤,,徐博馆仓库,1.00,35.000,35.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,500.000","1,500.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,3.00,982.873,"2,948.62"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120161,当归片,斤,,徐博馆仓库,0.90,175.000,157.50
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,5.50,179.673,988.20
15120174,20年陈皮,斤,,徐博馆仓库,4.80,673.104,"3,230.90"
,食品,,,,,,"104,678.02"
1614,玫瑰花,斤,,徐博馆仓库,1.00,50.000,50.00
1622,西藏雪藏茶,斤,,徐博馆仓库,2.00,75.000,150.00
,饮料,,,,,,200.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,993.15",251.074,"500,428.99"
