物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额,,,
15090023,松子仁,斤,,徐博馆仓库,2.00,100.000,200.00,,,
15090027,黑芝麻,斤,,徐博馆仓库,1.00,10.500,10.50,,,
15090028,白芝麻,斤,,徐博馆仓库,4.00,11.000,44.00,,,
15090030,元肉,斤,,徐博馆仓库,3.00,25.000,75.00,,,
15090031,红枣,斤,,徐博馆仓库,1.00,7.000,7.00,,,
15090034,白莲子,斤,,徐博馆仓库,1.00,36.000,36.00,,,
15090106,西杏片,斤,,徐博馆仓库,1.00,40.000,40.00,,,
15090107,红衣花生,斤,,徐博馆仓库,3.00,8.000,24.00,,,
15090127,雪莲子,斤,,徐博馆仓库,1.00,175.000,175.00,,,
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,4.00,11.000,44.00,,,
15100004,三花淡奶 410克,罐,,徐博馆仓库,2.00,7.000,14.00,,,
15100005,保利奶 1kg,罐,,徐博馆仓库,11.00,16.000,176.00,,,
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,6.00,8.000,48.00,,,
15100020,红车厘子 737,罐,,徐博馆仓库,2.00,19.000,38.00,,,
15100026,高达椰浆 400g,罐,,徐博馆仓库,2.00,8.000,16.00,,,
15100034,地扪杂果,罐,,徐博馆仓库,3.00,11.000,33.00,,,
15100071,桂花糖 300g,支,,徐博馆仓库,4.00,5.000,20.00,,,
15100073,蓬盛榄菜,瓶,,徐博馆仓库,6.00,4.000,24.00,,,
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,2.00,13.000,26.00,,,
15100078,钻石黑椒碎,罐,,徐博馆仓库,3.00,47.000,141.00,,,
15100079,百利红腰豆 432g,罐,,徐博馆仓库,4.00,4.500,18.00,,,
15100085,东古野山椒 180g,瓶,,徐博馆仓库,9.00,3.300,29.70,,,
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,4.00,15.000,60.00,,,
15100093,小放牛冬菜,瓶,,徐博馆仓库,6.00,5.200,31.20,,,
15100097,咸柠檬,瓶,,徐博馆仓库,1.00,85.000,85.00,,,
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00,,,
15110009,酸子姜,罐,,徐博馆仓库,3.00,15.000,45.00,,,
15120001,太子参,斤,,徐博馆仓库,2.00,550.000,"1,100.00",,,
15120007,杞子,斤,,徐博馆仓库,1.50,25.000,37.50,,,
15120009,玉竹,斤,,徐博馆仓库,2.00,147.000,294.00,,,
15120026,杜仲,斤,,徐博馆仓库,2.00, , ,,,
15120027,罗汉果,只,,徐博馆仓库,10.00,1.200,12.00,,,
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00,,,
15120044,桂皮,斤,,徐博馆仓库,1.00,10.000,10.00,,,
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00,,,
15120057,石斛,斤,,徐博馆仓库,1.00,727.510,727.51,,,
15120059,灵芝,斤,,徐博馆仓库,0.70,85.000,59.50,,,
15120074,锁阳,斤,,徐博馆仓库,2.00, , ,,,
15120086,西藏红花,g,,徐博馆仓库,170.25,13.392,"2,280.00",,,
15120102,虫草花,斤,,徐博馆仓库,2.00,80.000,160.00,,,
15120119,地龙干,斤,,徐博馆仓库,1.50,210.000,315.00,,,
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,800.000","1,800.00",,,
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00,,,
15120143,宝光珍珠,斤,,徐博馆仓库,3.10,982.874,"3,046.91",,,
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00",,,
15120161,当归片,斤,,徐博馆仓库,0.90,175.000,157.50,,,
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00,,,
15120172,黄芪,斤,,徐博馆仓库,6.50,179.169,"1,164.60",,,
15120174,20年陈皮,斤,,徐博馆仓库,3.50,673.109,"2,355.88",,,
,食品,,,,,,"102,293.65",,,
1622,西藏雪藏茶,斤,,徐博馆仓库,2.00,75.000,150.00,,,
,饮料,,,,,,150.00,,,
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00,,,
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00,,,
合计,,,,,"2,002.95",279.918,"560,661.24",,,
