物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15120043,八角,斤,,徐博馆仓库,2.00,15.000,30.00
15120044,桂皮,斤,,徐博馆仓库,2.00,10.000,20.00
15120048,草果,斤,,徐博馆仓库,2.00,30.000,60.00
15120057,石斛,斤,,徐博馆仓库,3.00,733.333,"2,200.00"
15120059,灵芝,斤,,徐博馆仓库,3.00,85.000,255.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,56.75,13.392,760.00
15120115,青花椒,斤,,徐博馆仓库,1.00,38.000,38.00
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,1.99,982.874,"1,955.92"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,9.00,110.000,990.00
15120175,15年陈皮,斤,,徐博馆仓库,12.00,464.671,"5,576.05"
,食品,,,,,,"107,154.17"
1617,雪茶,KG,,徐博馆仓库,2.50,150.000,375.00
1623,西藏雪菊花,斤,,徐博馆仓库,4.00,24.000,96.00
,饮料,,,,,,471.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,701.34",275.604,"467,850.17"
