物资编码,品名规格,单位,货架号,位置,数量,单价,金额
15090106,西杏片,斤,,徐博馆仓库,2.00,40.000,80.00
15090107,红衣花生,斤,,徐博馆仓库,16.00,8.000,128.00
15090127,雪莲子,斤,,徐博馆仓库,2.00,175.000,350.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,7.00,11.000,77.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,8.00,7.000,56.00
15100005,保利奶 1kg,罐,,徐博馆仓库,34.00,15.500,527.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,4.00,8.000,32.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,80.00,8.000,640.00
15100034,地扪杂果,罐,,徐博馆仓库,11.00,12.000,132.00
15100071,桂花糖 300g,支,,徐博馆仓库,5.00,5.000,25.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,14.00,4.000,56.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,4.00,13.000,52.00
15100078,钻石黑椒碎,罐,,徐博馆仓库,3.00,47.000,141.00
15100085,东古野山椒 180g,瓶,,徐博馆仓库,9.00,3.300,29.70
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,4.00,15.000,60.00
15100093,小放牛冬菜,瓶,,徐博馆仓库,6.00,5.200,31.20
15100097,咸柠檬,瓶,,徐博馆仓库,4.00,85.000,340.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,10.00,25.000,250.00
15110013,火窝料,包,,徐博馆仓库,3.00,3.500,10.50
15110014,麦冬,斤,,徐博馆仓库,2.00,325.000,650.00
15120001,太子参,斤,,徐博馆仓库,3.00,550.000,"1,650.00"
15120004,海马,斤,,徐博馆仓库,1.20,"3,006.100","3,607.32"
15120007,杞子,斤,,徐博馆仓库,4.00,25.000,100.00
15120009,玉竹,斤,,徐博馆仓库,4.00,147.000,588.00
15120010,党参,斤,,徐博馆仓库,4.00,250.000,"1,000.00"
15120019,白术,斤,,徐博馆仓库,1.00,98.000,98.00
15120026,杜仲,斤,,徐博馆仓库,2.00, , 
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00
15120043,八角,斤,,徐博馆仓库,1.00,15.000,15.00
15120044,桂皮,斤,,徐博馆仓库,0.50,10.000,5.00
15120048,草果,斤,,徐博馆仓库,2.00,30.000,60.00
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00
15120057,石斛,斤,,徐博馆仓库,3.00,727.510,"2,182.53"
15120059,灵芝,斤,,徐博馆仓库,8.40,85.000,714.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,227.00,13.392,"3,040.00"
15120102,虫草花,斤,,徐博馆仓库,2.00,80.000,160.00
15120119,地龙干,斤,,徐博馆仓库,1.50,210.000,315.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"2,000.000","2,000.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,3.10,982.874,"3,046.91"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120161,当归片,斤,,徐博馆仓库,0.90,175.000,157.50
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,4.00,53.000,212.00
15120172,黄芪,斤,,徐博馆仓库,8.00,178.650,"1,429.20"
,食品,,,,,,"99,056.98"
1617,雪茶,KG,,徐博馆仓库,1.00,180.000,180.00
1623,西藏雪菊花,斤,,徐博馆仓库,0.90,22.700,20.43
,饮料,,,,,,200.43
合计,,,,,,,"561,065.75"
