id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
35,紫姜砂窝牛仔骨(中),中,RMB,256.00,3.0,768.00,5,4,2
36,津梨炖岩燕盏,位,RMB,180.00,26.0,4680.00,6,5,1
37,春芽鲜胡椒炒斑球,位,RMB,68.00,3.0,204.00,8,3,1
38,石窝紫姜牛仔骨(12套餐),份,RMB,66.73,58.0,3870.33,5,1,1
39,泰椒粒菜甫炒蛋,例,RMB,68.00,1.0,68.00,,2,2
40,二度滚粥,大,RMB,120.00,1.0,120.00,5,3,1
41,博士养生茶(增加）,位,RMB,0.00,940.0,0.00,2,10,1
42,清汤面,位,RMB,38.00,4.0,152.00,5,7,1
43,珍菌煎西班牙火腿片,位,RMB,128.00,13.0,1664.00,5,1,1
44,羊肚菌炖花胶,位,RMB,268.00,149.0,39932.00,9,8,1
45,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,103.0,11742.00,9,6,1
46,美点双拼（8月套餐）,份,RMB,51.88,7.0,363.16,3,10,1
47,小食,份,RMB,15.00,1.0,15.00,5,4,2
48,红景天沙虫干炖星斑腩,例,RMB,180.00,13.0,2340.00,8,2,1
49,豆豉炒奶白菜粒,位,RMB,28.00,12.0,336.00,5,4,2
50,大马爹利XO,支,RMB,"2,380.00",1.0,2380.00,2,3,2
51,焦糖布甸蛋糕。(11月套餐),份,RMB,38.32,33.0,1264.56,3,2,2
52,日本鱼沼米生滚粥,例,RMB,98.00,9.0,882.00,,2,2
53,皇帝菜(位),位,RMB,28.00,74.0,2072.00,5,1,1
54,青芥石蚝卷,件,RMB,10.00,57.0,570.00,3,10,1
55,日本黑竹盐烧和牛膜,位,RMB,338.00,6.0,2028.00,4,4,2
56,桂花蜜拌五彩鲜花,份,RMB,48.00,41.0,1968.00,1,6,1
57,自来大闸蟹加工费,份,RMB,300.00,1.0,300.00,5,10,1
58,鹅肝三拼,例,RMB,388.00,4.0,1552.00,,2,2
59,生炒糯米饭,例,RMB,88.00,1.0,88.00,5,5,1
60,松茸莲藕酥（顶）,份,RMB,30.00,121.0,3630.00,3,6,1
61,清香铁观音,位,RMB,28.00,51.0,1428.00,2,7,1
62,波士顿龙虾（半价）,斤,RMB,145.05,24.299999999999997,3524.7,8,6,1
63,西芹百合淮山(中),中,RMB,176.00,2.0,352.00,5,1,1
64,烟樱花猪煮潮州鲜笋,例,RMB,88.00,2.0,176.00,5,3,2
65,骨髓莲藕焖花胶,例,RMB,98.00,67.0,6566.00,5,1,2
66,鲜榨哈蜜瓜汁,杯,RMB,20.00,1.0,20.00,2,6,1
67,咖啡布丁盆栽,份,RMB,26.00,34.0,884.00,3,3,2
68,黑松露素粉果（特）,份,RMB,26.00,157.0,4082.00,3,10,1
69,山药茯苓包,件,RMB,10.00,242.0,2420.00,3,1,2
70,番茄炒蛋,例,RMB,68.00,1.0,68.00,5,3,2
71,西藏甘草雪莲子,位,RMB,20.00,28.0,560.00,3,4,2
72,红枣枸杞雪菊茶,位,RMB,28.00,202.0,5656.00,2,10,1
73,白菜苗(位),位,RMB,28.00,225.0,6300.00,5,8,1
74,可乐,罐,RMB,13.00,31.0,403.00,2,2,2
75,可乐,罐,RMB,15.00,9.0,135.00,2,2,1
76,泰椒炒鸡蛋,例,RMB,68.00,1.0,68.00,5,4,2
77,西藏甘草雪茶,位,RMB,28.00,86.0,2408.00,2,3,1
78,西藏甘草雪茶,位,RMB,28.00,182.0,5096.00,2,3,2
79,鲜榨火龙果汁(渣),渣,RMB,128.00,1.0,128.00,2,7,1
80,香煎淮山炒带子,例,RMB,160.00,6.0,960.00,4,10,1
81,黑森林水果蛋糕,份,RMB,38.00,1.0,38.00,3,2,2
82,百岁草炖珍珠鲍鱼,位,RMB,180.00,93.0,16740.00,8,2,1
83,番茄鸡蛋汤,位,RMB,38.00,1.0,38.00,5,3,1
84,番茄鸡蛋汤,例,RMB,68.00,1.0,68.00,5,3,2
85,炸腰果,例,RMB,28.00,52.0,1456.00,1,11,1
86,泰式煎仓鱼,条,RMB,88.00,1.0,88.00,5,4,2
87,水东芥菜(位),位,RMB,28.00,6.0,168.00,5,8,1
88,樱花虾安康鱼肝炒饭（套餐10月）,份,RMB,17.69,53.0,937.57,5,8,1
89,欧式芝士蛋糕,位,RMB,26.00,1.0,26.00,3,10,1
90,清汤窝底,个,RMB,40.00,1.0,40.00,5,4,1
91,陈醋,碗,RMB,10.00,1.0,10.00,5,10,1
92,黑芝麻汤圆,位,RMB,28.00,4.0,112.00,3,4,1
93,川弓白芷煮有机水鱼,例,RMB,198.00,17.0,3366.00,5,1,2
94,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,9.0,792.00,4,3,1
95,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,125.0,11000.00,4,3,2
96,松子仁黄豆炒拆骨猪手,例,RMB,68.00,31.0,2108.00,,2,2
97,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00,2,2,1
98,咖喱芝心角（中）,份,RMB,18.00,45.0,810.00,3,7,1
99,鲜榨木瓜汁,杯,RMB,20.00,3.0,60.00,2,2,2
100,绍兴20年花雕,支,RMB,380.00,1.0,380.00,2,9,1
101,香煎匈牙利鹅肝,位,RMB,168.00,4.0,672.00,4,3,1
102,美点三品拼,份,RMB,28.00,55.0,1540.00,3,4,2
103,椰香桂花糕,位,RMB,16.00,17.0,272.00,3,5,1
104,黑松露吞拿鱼腩,位,RMB,128.00,5.0,640.00,4,10,1
105,温泉蛋脆皮雪花牛肉,位,RMB,280.00,45.0,12600.00,4,2,1
106,荷花鱼沼米粥,例,RMB,98.00,1.0,98.00,5,7,1
107,至尊班兰莲蓉月,盒,RMB,268.00,25.0,6700.00,7,9,1
108,高度茅台53度,支,RMB,"1,980.00",3.0,5940.00,2,5,1
109,喜之次鱼,斤,RMB,680.00,2.4,1632.00,5,3,1
110,泰式金仓鱼,份,RMB,88.00,1.0,88.00,5,4,2
111,意大利大普娜水（750ml）,支,RMB,38.00,67.0,2546.00,2,5,1
112,家乡艾糍(件),件,RMB,8.00,54.0,432.00,3,3,2
113,家乡艾糍(件),件,RMB,8.00,140.0,1120.00,3,3,1
114,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,158.0,2844.00,2,3,2
115,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,79.0,1422.00,2,3,1
116,蓝莓鹅肝,份,RMB,198.00,1.0,198.00,1,5,1
117,酥皮咖喱局牛崧（特）,份,RMB,26.00,29.0,754.00,3,3,2
118,烟樱花猪煮潮州鲜笋,例,RMB,88.00,9.0,792.00,,2,2
119,羊肚菌炖瘦肉,位,RMB,128.00,2.0,256.00,5,11,1
120,香草酱皇蒸凤爪（大）(半价）,份,RMB,11.00,3.0,33.00,3,8,1
121,奶白菜(位),位,RMB,28.00,14.0,392.00,,2,2
122,意大利圣培露（橙汁）,瓶,RMB,25.00,5.0,125.00,2,4,2
123,意大利圣培露（橙汁）,瓶,RMB,25.00,2.0,50.00,2,4,1
124,博士养生茶,位,RMB,28.00,246.0,6888.00,2,4,2
125,徐博馆香葱酱,碟,RMB,10.00,2.0,20.00,5,5,1
126,鱼沼米海鲜泡饭,位,RMB,28.00,65.0,1820.00,5,7,1
127,野竹笙浸鲜蔬苗（大）,份,RMB,22.00,300.0,6600.00,5,4,2
128,泡白萝卜,份,RMB,38.00,2.0,76.00,5,4,1
129,菜心,例,RMB,58.00,15.0,870.00,5,10,1
130,露笋百合炒元贝,例,RMB,198.00,6.0,1188.00,5,1,2
131,低温百合茄鹅肝,份,RMB,88.00,1.0,88.00,5,2,1
132,樱花豉油,支,RMB,48.00,8.0,384.00,5,7,1
133,自带茶叶,位,RMB,15.00,137.0,2055.00,2,5,1
134,西芹百合炒露笋,例,RMB,88.00,1.0,88.00,5,6,1
135,软黑芙蓉王,包,RMB,88.00,8.0,704.00,2,5,1
136,西藏甘草雪茶（午市散台）,位,RMB,18.00,49.0,882.00,2,5,1
137,夏日鲜茄局鲜莲,位,RMB,68.00,34.0,2312.00,4,7,1
138,阿拉斯加蟹,斤,RMB,328.00,7.0,2296.00,8,9,1
139,生菜,例,RMB,68.00,6.0,408.00,5,2,1
140,娃娃鱼,斤,RMB,980.00,4.3,4214.00,8,6,1
141,黑竹盐脆虾包（特）,份,RMB,26.00,55.0,1430.00,3,12,1
142,罗氏虾,斤,RMB,138.00,28.5,3933.00,8,4,2
143,荞菜爆河虾仔,例,RMB,78.00,18.0,1404.00,5,1,2
144,日本3头岩手大网鲍扒烟薰姬松茸菌配汤（组合）,位,RMB,"1,833.00",4.0,7332.00,6,12,1
145,海苔琵琶豆腐丸（大）（半价）,份,RMB,11.00,333.0,3663.00,5,3,1
146,浓鸡汤稻庭面,位,RMB,38.00,3.0,114.00,5,1,2
147,水果（送）,位,RMB,0.00,2587.0,0.00,2,3,1
148,水果（送）,位,RMB,0.00,1988.0,0.00,2,3,2
149,鹅肝粒炒饭（顶）,份,RMB,30.00,71.0,2130.00,5,9,1
150,长打包盒,个,RMB,2.00,350.0,700.00,2,3,2
151,五叶神沙虫干炖山斑,位,RMB,168.00,14.0,2352.00,9,5,1
152,酸辣煮法国鹅筋,份,RMB,27.17,48.0,1304.0,5,4,2
153,冰冻清润茶,位,RMB,18.00,32.0,576.00,2,6,1
