id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
219,法式焦糖炖蛋,位,RMB,16.00,34.0,544.00,3,4,2
220,泡椒私房焖龙趸,例,RMB,168.00,7.0,1176.00,8,10,1
221,法式焦糖炖蛋,位,RMB,16.00,22.0,352.00,3,4,1
222,辣椒炒蛋,例,RMB,68.00,1.0,68.00,5,2,2
223,灯心草虫草花炖肉汁,例,RMB,118.0,8.0,944.0,5,2,2
224,低温白雪龙虾仔,位,RMB,128.00,19.0,2432.00,8,6,1
225,花旗参人参果炖刺龟鱼,例,RMB,228.00,14.0,3192.00,9,1,1
226,荞菜炒土猪肉（中）,中,RMB,156.00,1.0,156.00,5,5,1
227,五谷烩鲨鱼裙,位,RMB,58.00,12.0,696.00,5,4,2
228,鲜天麻炖水鸭,位,RMB,22.00,3.0,66.00,5,10,1
229,清炒胜瓜,例,RMB,58.00,1.0,58.00,5,7,1
230,五彩杂粮饭,位,RMB,15.00,166.0,2490.00,5,1,2
231,普通茶（厅）,位,RMB,12.00,737.0,8844.00,2,3,1
232,花椒草菇黄牛肉,份,RMB,78.00,5.0,390.00,5,1,2
233,木鱼汁香煎法国鹅肝,位,RMB,168.00,37.0,6216.00,4,2,2
234,开刀苏眉头腩（半价）,斤,RMB,540.00,13.6,7344.00,8,4,1
235,五彩杂粮饭,位,RMB,15.00,119.0,1785.00,5,12,1
236,灵芝茯苓茶(赠送）,位,RMB,0.00,385.0,0.00,2,2,2
237,骨胶原东海黄鱼冻,份,RMB,48.00,2.0,96.00,1,12,1
238,花生焖猪手,大,RMB,294.00,1.0,294.00,5,1,1
239,木耳炒百合,例,RMB,78.00,1.0,78.00,5,6,1
240,瑶柱萝卜糕,盒,RMB,88.00,25.0,2200.00,7,2,2
241,瑶柱萝卜糕,盒,RMB,88.00,1.0,88.00,7,2,1
242,绿茶蛋糕,位,RMB,20.00,12.0,240.00,3,5,1
243,金山黑金刚牛黄炖螺头,位,RMB,228.00,270.0,61560.00,9,7,1
244,五叶神炖山坑鱼（3月套餐）,份,RMB,89.69,55.0,4932.95,5,3,2
245,三支虫草巴戟炖花胶,位,RMB,580.00,23.0,13340.00,6,1,1
246,三支虫草巴戟炖花胶,位,RMB,580.00,6.0,3480.00,6,1,2
247,鱼窝萝卜煲牛杂,份,RMB,23.71,84.0,1992.0,5,4,2
248,白粥,例,RMB,40.00,1.0,40.00,5,10,1
249,松子仁黄豆炒拆骨猪手,例,RMB,68.00,23.0,1564.00,5,11,1
250,姜葱汁捞粗面,中,RMB,116.00,1.0,116.00,5,4,2
251,法式焦糖炖蛋,位,RMB,16.00,30.0,480.00,3,11,1
252,肉碎鱼汤米线（大）,份,RMB,22.00,25.0,550.00,5,5,1
253,圣子皇,斤,RMB,126.05,16.4,2067.2,8,7,1
254,1990年梅鹿液53度,支,RMB,980.00,10.0,9800.00,2,11,1
255,珍品凉菜双拼（套餐10月）,份,RMB,30.68,50.0,1534.00,1,4,2
256,金网菜肉饺,件,RMB,10.00,12.0,120.00,3,3,1
257,蒜子辣酱油（碗）,碗,RMB,15.00,6.0,90.00,5,11,1
258,金兰花虾饺皇（特）,份,RMB,26.03,77.0,2004.0,3,2,1
259,扑克,副,RMB,10.00,2.0,20.00,2,1,2
260,生上丝瓜,例,RMB,68.00,1.0,68.00,5,8,1
261,菜心粒炒饭,例,RMB,58.00,2.0,116.00,5,3,2
262,清焖淮山,份,RMB,55.87,47.0,2626.0,5,12,1
263,黑松露吞拿鱼腩,位,RMB,128.00,25.0,3200.00,4,9,1
264,葱花炒鸡蛋,例,RMB,68.00,1.0,68.00,5,1,2
265,云南黄花菜（位）,位,RMB,28.00,117.0,3276.00,5,7,1
266,和牛三拼,例,RMB,498.00,26.0,12948.00,5,7,1
267,奶白菜（位）,位,RMB,29.25,16.0,468.0,5,12,1
268,黄耳野菌饺,件,RMB,10.00,195.0,1950.00,3,9,1
269,鲜榨木瓜汁（渣）,渣,RMB,98.00,3.0,294.00,2,4,1
270,日本20头岩手吉品鲍,位,RMB,880.00,6.0,5280.00,6,3,1
271,野米煮辽参,位,RMB,298.00,5.0,1490.00,5,3,2
272,太子参玉竹炖花胶,位,RMB,180.00,13.0,2340.00,9,5,1
273,虎掌菌黑豆焖雁鹅,例,RMB,128.00,8.0,1024.00,5,12,1
274,冬笋炒樱花猪肉,例,RMB,88.00,4.0,352.00,5,2,1
275,红玫瑰,斤,RMB,398.00,8.6,3422.80,8,8,1
276,鲜天麻炖水鸭,位,RMB,48.00,13.0,624.00,9,10,1
277,风味汁大花螺,份,RMB,88.00,35.0,3080.00,1,1,2
278,风味汁大花螺,份,RMB,88.00,27.0,2376.00,1,1,1
279,昆布炖花胶,位,RMB,68.68,237.0,16276.0,9,4,2
280,虫草花素鲍卷,份,RMB,48.00,29.0,1392.00,1,1,2
281,虫草花素鲍卷,份,RMB,48.00,36.0,1728.00,1,1,1
282,杏仁汁（渣）,渣,RMB,138.00,19.0,2622.00,2,2,1
283,黑芝麻汤丸,位,RMB,16.00,42.0,672.00,3,12,1
284,红豆沙汤丸,中,RMB,156.00,3.0,468.00,3,3,2
285,椒麻鸡油菌,例,RMB,180.00,8.0,1440.00,5,6,1
286,红腰豆野米炒雪花牛肉,份,RMB,68.00,14.0,952.00,5,12,1
287,洛神花果冻（中）,份,RMB,18.00,11.0,198.00,3,10,1
288,干烧黑鸡纵菌,例,RMB,180.00,1.0,180.00,5,6,1
289,迷你八喜月(券）,盒,RMB,158.00,59.0,9322.00,7,7,1
290,金兰花汁烩龙趸皮,位,RMB,388.00,9.0,3492.00,5,11,1
291,斑马虾,斤,RMB,485.96,15.0,7289.400000000001,8,4,1
292,家乡艾糍,半打,RMB,48.00,15.0,720.00,3,5,1
293,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,5.0,440.00,1,1,2
294,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,19.0,1672.00,1,1,1
295,印象大红袍,盒,RMB,346.00,1.0,346.00,2,4,1
296,西芹百合木耳,中,RMB,176.00,1.0,176.00,5,3,2
297,迷你金腿五仁月饼,个,RMB,18.00,6.0,108.00,2,7,1
298,馆藏本草凉菜B（套餐）,位,RMB,84.78,204.0,17410.35,1,9,1
299,茉莉花酥皮泡芙,半打,RMB,48.00,14.0,672.00,3,7,1
300,上汤浸本草苗（套餐10月）,份,RMB,24.78,50.0,1239.00,5,4,2
301,上汤浸本草苗（套餐10月）,份,RMB,20.91,32.0,669.13,5,4,1
302,香草酱皇蒸凤爪（大）,份,RMB,22.00,139.0,3058.00,3,10,1
303,菊花瑶柱炒鸡丝(6月套餐),份,RMB,60.35,53.0,3198.55,5,8,1
304,水晶鸭舌,份,RMB,58.00,14.0,812.00,1,6,1
305,香芹露笋木耳炒土猪肉,例,RMB,78.00,1.0,78.00,5,8,1
306,灯心草虫草花炖水鸡,例,RMB,122.0,10.0,1220.0,5,4,2
307,猴枣炖野山龟,位,RMB,198.00,27.0,5346.00,9,10,1
308,干烧鸡纵菌,例,RMB,180.00,49.0,8820.00,8,7,1
